pair,village,geo_x,geo_y,n_observations,first_endpoint,second_endpoint,midpoint,separation_change
yː->ʉ̟ː,jarsnas,113.0,452.0,3,2.840018146415302,0.3662539640594901,1.6031360552373968,-2.4737641823558123
yː->ʉ̟ː,karna,53.0,448.0,3,6.648213974473912,-9.10598252801698,2.2791691622402586,-13.086968693259173
yː->ʉ̟ː,karsta,186.0,377.0,3,15.611280999058385,0.6358102164710593,8.169682990383905,-9.124032198138522
yː->ʉ̟ː,korsberga,100.0,432.0,3,-4.287130521625552,-5.030499338300886,-3.6836170976171685,2.0883455857436104
yː->ʉ̟ː,kramfors,173.0,248.0,3,-2.991473497261079,-6.2552729308160195,-4.623373214038549,-0.607430271270017
yː->ʉ̟ː,kyrkslatt,310.0,347.0,3,-5.559224230541085,27.582551397928462,11.011663583693688,32.48383038805208
yː->ʉ̟ː,lanna,161.0,393.0,2,3.6278561533395797,2.966911676277399,3.2973839148084902,-0.6609444770621797
yː->ʉ̟ː,leksand,120.0,335.0,2,-14.4329802025344,-11.832985642442685,-13.132982922488543,2.599994560091716
yː->ʉ̟ː,loderup,98.0,543.0,3,1.8164385290334097,15.92190530000923,9.277632505944835,13.288545588128791
yː->ʉ̟ː,malung,96.0,337.0,3,-1.4344457643817128,16.53310954168362,9.458612640200469,2.3091077536765656
yː->ʉ̟ː,n_rorum,84.0,522.0,2,-4.009687569624022,9.070815976883111,2.5305642036295444,13.080503546507131
yː->ʉ̟ː,narpes,237.0,258.0,3,-0.21588270200517734,11.430894262257578,5.607505780126201,9.982098711239548
yː->ʉ̟ː,nora,160.0,357.0,3,9.392085081956221,3.130723465387868,4.16676238441949,-3.4334387582774557
yː->ʉ̟ː,nysatra,228.0,188.0,3,1.8968259773219889,-2.1446457338864806,-1.4816799679732404,-4.392239479984672
yː->ʉ̟ː,ockelbo,156.0,328.0,3,8.64429138207418,5.382796593148032,7.013543987611107,-3.261494788926149
yː->ʉ̟ː,orust,49.0,436.0,3,16.234807028479906,11.17521366324695,13.89363143708618,-12.634521450790732
yː->ʉ̟ː,ossjo,74.0,515.0,3,5.336217398843862,16.39145006457922,13.091102269543232,12.635437704835805
yː->ʉ̟ː,ostad,63.0,445.0,2,4.286117611130077,-10.18634896627574,-2.9501156775728306,-14.472466577405816
yː->ʉ̟ː,ovanaker,140.0,310.0,3,-4.620258484092634,-0.8904577333405882,-3.6601276122288544,1.8326866752102244
yː->ʉ̟ː,oxaback,71.0,468.0,3,8.60692010357791,8.19110511806142,8.399012610819666,-0.415814985516489
yː->ʉ̟ː,pitea,233.0,141.0,3,-8.32387759225297,-17.207365061702014,-12.765621326977492,-0.7606296668008703
yː->ʉ̟ː,ragunda,145.0,241.0,3,-8.728191811348795,-10.794528065603624,-8.381199384229834,-5.409145194831208
yː->ʉ̟ː,rimforsa,134.0,437.0,3,-4.246242528346476,-2.0583386084142794,-4.827067744697972,-5.752273980837552
yː->ʉ̟ː,s_finnskoga,74.0,333.0,3,1.928431978498145,1.8511351975137798,-0.9502151593289806,0.6602732770733635
yː->ʉ̟ː,s_mellosa,129.0,395.0,3,7.677143013453178,16.0761472729084,12.335249045904325,7.481796454008158
yː->ʉ̟ː,saltvik,221.0,350.0,3,10.25656708694886,32.06901268835474,21.734552198528554,27.8201852268391
yː->ʉ̟ː,segerstad,153.0,510.0,3,6.428161831479495,3.026185343504211,4.436822642245165,-2.8212745974819073
yː->ʉ̟ː,skee,42.0,404.0,3,15.174842309794954,11.519662391981875,13.347252350888413,-3.6551799178130757
yː->ʉ̟ː,skinnskatteberg,135.0,371.0,2,-1.7028083270151506,10.648828058524808,4.473009865754831,12.35163638553996
yː->ʉ̟ː,skog,157.0,317.0,3,-11.188857502539614,-3.9236933488405557,-7.133095644404648,0.9138053195143545
yː->ʉ̟ː,skuttunge,171.0,364.0,2,4.312961689314888,8.313828372065085,6.313395030689987,4.000866682750199
yː->ʉ̟ː,sorsele,166.0,143.0,4,-1.030173405085928,-3.5874775807487054,0.6005760783034131,-6.696357799633576
yː->ʉ̟ː,sorunda,181.0,406.0,2,15.27951428038188,4.726396731120261,10.002955505751071,-10.553117549261618
yː->ʉ̟ː,sproge,190.0,475.0,1,-3.6314886666764306,5.77573278438647,1.0721220588550198,9.407221451062899
yː->ʉ̟ː,st_anna,157.0,436.0,4,-3.9866782147462323,-2.0066305043681085,-1.2666463972325201,0.24347667144347707
yː->ʉ̟ː,stenberga,128.0,474.0,3,7.232218941141236,0.9349042098239141,4.083561575482578,-6.297314731317323
yː->ʉ̟ː,storsjo,87.0,251.0,3,-11.436719380539909,-13.542849429677188,-13.287325774143685,4.922577171624837
