method,grouping,village,speaker,pair,first_vowel,second_vowel,geo_x,geo_y,anchor_pair_length,first_endpoint,second_endpoint,midpoint,observed_separation,separation_change
pca,speaker,storsjo,ym_3,ɑː->æː,ɑː,æː,87.0,251.0,47.12769533944659,-0.8539393121589341,-1.9117067506869219,-1.382823031422928,46.06992790091861,-1.057767438527982
pca,speaker,storsjo,ym_3,æː->eː,æː,eː,87.0,251.0,24.183879714413216,-5.948604298086745,-11.580052829836895,-8.764328563961818,18.552431182663067,-5.631448531750149
pca,speaker,storsjo,ym_3,yː->ʉ̟ː,yː,ʉ̟ː,87.0,251.0,10.203868683987409,-11.436719380539909,-15.137932167747463,-13.287325774143685,6.502655896779855,-3.701212787207554
pca,speaker,storsjo,ym_3,ʉ̟ː->øː,ʉ̟ː,øː,87.0,251.0,23.65566518158654,9.660898891194185,-4.518842718996935,2.5710280860986243,9.475923571395422,-14.179741610191117
pca,speaker,strom,ym_1,uː->oː,uː,oː,132.0,211.0,7.573081840041759,-0.4159768948505076,-2.378544835427596,-1.3972608651390515,5.610513899464671,-1.9625679405770882
pca,speaker,strom,ym_1,oː->ɑː,oː,ɑː,132.0,211.0,27.262853415824775,-10.468702526057056,-5.250724786993558,-7.859713656525306,32.48083115488828,5.217977739063503
pca,speaker,strom,ym_1,ɑː->æː,ɑː,æː,132.0,211.0,47.12769533944659,-3.551533254790735,2.143402355856455,-0.7040654494671404,52.82263095009378,5.6949356106471924
pca,speaker,strom,ym_1,æː->eː,æː,eː,132.0,211.0,24.183879714413216,0.2214762966740534,3.992274937153347,2.1068756169137006,27.954678354892508,3.770798640479292
pca,speaker,strom,ym_1,yː->ʉ̟ː,yː,ʉ̟ː,132.0,211.0,10.203868683987409,11.512424308796685,4.260533166869521,7.886478737833105,2.9519775420602414,-7.251891141927167
pca,speaker,strom,ym_1,ʉ̟ː->øː,ʉ̟ː,øː,132.0,211.0,23.65566518158654,-8.326044807002077,-10.198679520558521,-9.2623621637803,21.7830304680301,-1.8726347135564403
pca,speaker,strom,ym_2,uː->oː,uː,oː,132.0,211.0,7.573081840041759,-9.403690980824935,-1.9502360494557058,-5.67696351514032,15.026536771410987,7.453454931369228
pca,speaker,strom,ym_2,oː->ɑː,oː,ɑː,132.0,211.0,27.262853415824775,2.0509007226234575,6.581072375388927,4.315986549006193,31.79302506859025,4.530171652765475
pca,speaker,strom,ym_2,ɑː->æː,ɑː,æː,132.0,211.0,47.12769533944659,10.429096476621407,2.2902488998004924,6.359672688210948,38.98884776262568,-8.138847576820908
pca,speaker,strom,ym_2,æː->eː,æː,eː,132.0,211.0,24.183879714413216,-8.0292002456355,-6.778122487316296,-7.403661366475899,25.434957472732417,1.2510777583192016
pca,speaker,strom,ym_2,yː->ʉ̟ː,yː,ʉ̟ː,132.0,211.0,10.203868683987409,-10.30674246369354,-2.2221691998695956,-6.264455831781567,18.288441947811354,8.084573263823945
pca,speaker,strom,ym_2,ʉ̟ː->øː,ʉ̟ː,øː,132.0,211.0,23.65566518158654,-5.59299414628047,-2.451630498433772,-4.022312322357121,26.79702882943324,3.1413636478467026
pca,speaker,strom,ym_3,uː->oː,uː,oː,132.0,211.0,7.573081840041759,-3.301966843535316,-9.414572813383007,-6.358269828459162,1.460475870194068,-6.1126059698476904
pca,speaker,strom,ym_3,oː->ɑː,oː,ɑː,132.0,211.0,27.262853415824775,13.626606178376717,-6.005136425593178,3.8107348763917703,7.631110811854882,-19.631742603969894
pca,speaker,strom,ym_3,ɑː->æː,ɑː,æː,132.0,211.0,47.12769533944659,-6.5000048408352775,1.4956790378592117,-2.5021629014880333,55.123379218141075,7.995683878694486
pca,speaker,strom,ym_3,æː->eː,æː,eː,132.0,211.0,24.183879714413216,6.9610615183529045,6.031257225298734,6.4961593718258195,23.254075421359044,-0.9298042930541719
pca,speaker,strom,ym_3,yː->ʉ̟ː,yː,ʉ̟ː,132.0,211.0,10.203868683987409,-1.3995784501086213,-5.168788424296796,-3.2841834372027074,6.434658709799233,-3.7692099741881755
pca,speaker,strom,ym_3,ʉ̟ː->øː,ʉ̟ː,øː,132.0,211.0,23.65566518158654,-8.746811618017244,-17.06398591171771,-12.905398764867476,15.33849088788607,-8.317174293700468
pca,speaker,tjallmo,ym_1,uː->oː,uː,oː,128.0,416.0,7.573081840041759,2.2319427517121464,-10.312471835926731,-4.040264542107291,-4.971332747597119,-12.544414587638878
pca,speaker,tjallmo,ym_1,oː->ɑː,oː,ɑː,128.0,416.0,27.262853415824775,-9.212313403575715,-31.6318215713264,-20.422067487451063,4.843345248074089,-22.419508167750685
pca,speaker,tjallmo,ym_1,ɑː->æː,ɑː,æː,128.0,416.0,47.12769533944659,-2.785091394951858,9.673335807614645,3.4441222063313943,59.586122542013086,12.458427202566497
pca,speaker,tjallmo,ym_1,æː->eː,æː,eː,128.0,416.0,24.183879714413216,-0.45164381946006743,5.3571789822162454,2.4527675813780894,29.99270251608953,5.808822801676314
pca,speaker,tjallmo,ym_1,yː->ʉ̟ː,yː,ʉ̟ː,128.0,416.0,10.203868683987409,-14.795538623921185,-4.417527787877861,-9.606533205899524,20.581879520030736,10.378010836043327
pca,speaker,tjallmo,ym_1,ʉ̟ː->øː,ʉ̟ː,øː,128.0,416.0,23.65566518158654,3.6853692189835336,9.062537905337527,6.373953562160532,29.032833867940536,5.377168686353997
pca,speaker,tjallmo,ym_2,uː->oː,uː,oː,128.0,416.0,7.573081840041759,-4.789407581678353,-9.421378990192222,-7.105393285935288,2.9411104315278886,-4.63197140851387
pca,speaker,tjallmo,ym_2,oː->ɑː,oː,ɑː,128.0,416.0,27.262853415824775,-11.851960295973077,-1.9661215319210716,-6.909040913947074,37.14869217987678,9.885838764052007
pca,speaker,tjallmo,ym_2,ɑː->æː,ɑː,æː,128.0,416.0,47.12769533944659,-4.3582808795323436,14.91969666462535,5.280707892546504,66.40567288360428,19.277977544157693
pca,speaker,tjallmo,ym_2,æː->eː,æː,eː,128.0,416.0,24.183879714413216,-6.58092536458673,-2.8170200080243744,-4.698972686305551,27.94778507097557,3.763905356562354
pca,speaker,tjallmo,ym_2,yː->ʉ̟ː,yː,ʉ̟ː,128.0,416.0,10.203868683987409,-17.91329433348235,-15.719872022251824,-16.816583177867088,12.397290995217936,2.1934223112305276
pca,speaker,tjallmo,ym_2,ʉ̟ː->øː,ʉ̟ː,øː,128.0,416.0,23.65566518158654,8.199081104878662,15.664556931530168,11.931819018204413,31.121141008238045,7.465475826651506
pca,speaker,tjallmo,ym_3,uː->oː,uː,oː,128.0,416.0,7.573081840041759,2.1058352106614704,-9.06045219561916,-3.4773084924788447,-3.5932055662388716,-11.166287406280631
pca,speaker,tjallmo,ym_3,oː->ɑː,oː,ɑː,128.0,416.0,27.262853415824775,-15.885857379962117,-11.980497188339827,-13.933177284150974,31.16821360744707,3.905360191622293
pca,speaker,tjallmo,ym_3,ɑː->æː,ɑː,æː,128.0,416.0,47.12769533944659,-11.11590060767308,-7.663296562534377,-9.389598585103728,50.580299384585295,3.452604045138706
pca,speaker,tjallmo,ym_3,æː->eː,æː,eː,128.0,416.0,24.183879714413216,3.9770854123424724,4.223810465448862,4.100447938895668,24.430604767519604,0.24672505310638826
pca,speaker,tjallmo,ym_3,yː->ʉ̟ː,yː,ʉ̟ː,128.0,416.0,10.203868683987409,6.095705264492652,-1.193765453397718,2.4509699055474683,2.9143979660970376,-7.289470717890371
pca,speaker,tjallmo,ym_3,ʉ̟ː->øː,ʉ̟ː,øː,128.0,416.0,23.65566518158654,11.965316674414094,7.597855672497813,9.781586173455953,19.288204179670256,-4.367461001916283
pca,speaker,torhamn,ym_1,uː->oː,uː,oː,135.0,521.0,7.573081840041759,2.1239777528099943,3.267412142707225,2.69569494775861,8.71651622993899,1.1434343898972301
pca,speaker,torhamn,ym_1,oː->ɑː,oː,ɑː,135.0,521.0,27.262853415824775,9.478437566417199,5.891532981488943,7.68498527395307,23.675948830896523,-3.586904584928252
pca,speaker,torhamn,ym_1,ɑː->æː,ɑː,æː,135.0,521.0,47.12769533944659,5.3619916550403826,2.3605879497087336,3.861289802374557,44.12629163411494,-3.001403705331647
pca,speaker,torhamn,ym_1,æː->eː,æː,eː,135.0,521.0,24.183879714413216,2.1375919497830536,-8.05662757222585,-2.959517811221399,13.989660192404312,-10.194219522008904
pca,speaker,torhamn,ym_1,yː->ʉ̟ː,yː,ʉ̟ː,135.0,521.0,10.203868683987409,3.171264148889201,0.45693989930384116,1.8141020240965215,7.489544434402049,-2.71432424958536
pca,speaker,torhamn,ym_1,ʉ̟ː->øː,ʉ̟ː,øː,135.0,521.0,23.65566518158654,-6.360163905991185,3.48315940821414,-1.4385022488885224,33.49898849579187,9.843323314205332
pca,speaker,torhamn,ym_2,uː->oː,uː,oː,135.0,521.0,7.573081840041759,1.0525657796115466,-2.528802847165007,-0.7381185337767298,3.991713213265206,-3.581368626776553
pca,speaker,torhamn,ym_2,oː->ɑː,oː,ɑː,135.0,521.0,27.262853415824775,-5.099832710083803,-26.810905942051466,-15.955369326067634,5.5517801838571135,-21.71107323196766
pca,speaker,torhamn,ym_2,ɑː->æː,ɑː,æː,135.0,521.0,47.12769533944659,-28.027327571898763,-11.669040102437057,-19.84818383716791,63.48598280890829,16.3582874694617
pca,speaker,torhamn,ym_2,æː->eː,æː,eː,135.0,521.0,24.183879714413216,20.218306731460643,9.295385881265052,14.756846306362847,13.260958864217622,-10.922920850195593
pca,speaker,torhamn,ym_2,yː->ʉ̟ː,yː,ʉ̟ː,135.0,521.0,10.203868683987409,-2.359948012536486,-3.4407516618225165,-2.900349837179501,9.123065034701376,-1.0808036492860325
pca,speaker,torhamn,ym_2,ʉ̟ː->øː,ʉ̟ː,øː,135.0,521.0,23.65566518158654,-18.898916994157698,-10.655583800723766,-14.777250397440733,31.898998375020472,8.243333193433934
pca,speaker,torhamn,ym_3,uː->oː,uː,oː,135.0,521.0,7.573081840041759,8.671710068909853,11.542159888041741,10.106934978475797,10.443531659173646,2.8704498191318866
pca,speaker,torhamn,ym_3,oː->ɑː,oː,ɑː,135.0,521.0,27.262853415824775,33.87878764248085,5.989025550166559,19.933906596323705,-0.6269086764895109,-27.889762092314285
pca,speaker,torhamn,ym_3,ɑː->æː,ɑː,æː,135.0,521.0,47.12769533944659,4.820636618153165,9.776788322033164,7.298712470093165,52.083847043326585,4.956151703879996
pca,speaker,torhamn,ym_3,æː->eː,æː,eː,135.0,521.0,24.183879714413216,5.873266739754085,-4.32588006206623,0.7736933388439271,13.9847329125929,-10.199146801820316
pca,speaker,torhamn,ym_3,yː->ʉ̟ː,yː,ʉ̟ː,135.0,521.0,10.203868683987409,-10.052902670239325,-13.13847897706641,-11.595690823652868,7.118292377160325,-3.0855763068270843
pca,speaker,torhamn,ym_3,ʉ̟ː->øː,ʉ̟ː,øː,135.0,521.0,23.65566518158654,1.494691465938429,4.818564194429034,3.1566278301837314,26.979537910077145,3.323872728490606
pca,speaker,torp,ym_1,uː->oː,uː,oː,145.0,265.0,7.573081840041759,-5.500606026135883,-4.364971914052354,-4.932788970094118,8.708715952125287,1.1356341120835278
pca,speaker,torp,ym_1,oː->ɑː,oː,ɑː,145.0,265.0,27.262853415824775,-0.033978285950951724,8.342578544375579,4.154300129212314,35.63941024615131,8.376556830326532
pca,speaker,torp,ym_1,ɑː->æː,ɑː,æː,145.0,265.0,47.12769533944659,7.18656960167988,14.59504423750867,10.890806919594274,54.536169975275385,7.408474635828796
pca,speaker,torp,ym_1,æː->eː,æː,eː,145.0,265.0,24.183879714413216,-8.449905152696228,-1.9045629831785704,-5.177234067937399,30.729221883930872,6.545342169517657
pca,speaker,torp,ym_1,yː->ʉ̟ː,yː,ʉ̟ː,145.0,265.0,10.203868683987409,-3.371223898638068,-3.321787780105174,-3.34650583937162,10.253304802520303,0.04943611853289376
pca,speaker,torp,ym_1,ʉ̟ː->øː,ʉ̟ː,øː,145.0,265.0,23.65566518158654,3.231936205367787,14.893297081755364,9.062616643561576,35.31702605797412,11.66136087638758
