method,grouping,village,speaker,pair,first_vowel,second_vowel,display_x,display_y,geo_x,geo_y
pca,village,broby,,æː->eː,æː,eː,-28.666710539204214,5.525445297395477,99.0,510.0
pca,village,broby,,yː->ʉ̟ː,yː,ʉ̟ː,-13.547300974712844,13.26856669655766,99.0,510.0
pca,village,broby,,ʉ̟ː->øː,ʉ̟ː,øː,-2.7313814568666546,9.077651606368255,99.0,510.0
pca,village,burseryd,,uː->oː,uː,oː,37.53303465365572,-1.2674066160299784,84.0,478.0
pca,village,burseryd,,oː->ɑː,oː,ɑː,35.401510024147115,-14.911447469096107,84.0,478.0
pca,village,burseryd,,ɑː->æː,ɑː,æː,6.512344443727246,-19.23285973306802,84.0,478.0
pca,village,burseryd,,æː->eː,æː,eː,-14.752766997246479,2.5415338833404153,84.0,478.0
pca,village,burseryd,,yː->ʉ̟ː,yː,ʉ̟ː,0.31112198647780054,22.093325694431222,84.0,478.0
pca,village,burseryd,,ʉ̟ː->øː,ʉ̟ː,øː,0.7271691633193038,11.585598615749806,84.0,478.0
pca,village,burtrask,,uː->oː,uː,oː,41.489837449060275,-2.200040460447858,222.0,177.0
pca,village,burtrask,,oː->ɑː,oː,ɑː,14.919474122086935,-16.449261291690135,222.0,177.0
pca,village,burtrask,,ɑː->æː,ɑː,æː,-22.191229943039385,-20.455440872370467,222.0,177.0
pca,village,burtrask,,æː->eː,æː,eː,-25.081480548769342,-4.190734271809894,222.0,177.0
pca,village,burtrask,,yː->ʉ̟ː,yː,ʉ̟ː,-1.4348530108454405,18.464978390688614,222.0,177.0
pca,village,burtrask,,ʉ̟ː->øː,ʉ̟ː,øː,-8.380357804542527,2.159113578400306,222.0,177.0
pca,village,dalby,,uː->oː,uː,oː,33.50635785200104,4.557021350497298,82.0,336.0
pca,village,dalby,,oː->ɑː,oː,ɑː,23.81261185508434,-12.574772875971215,82.0,336.0
pca,village,dalby,,ɑː->æː,ɑː,æː,-8.823495477449569,-14.873338357351484,82.0,336.0
pca,village,dalby,,æː->eː,æː,eː,-23.112782476194756,5.431997542385984,82.0,336.0
pca,village,dalby,,yː->ʉ̟ː,yː,ʉ̟ː,-6.368199932275082,17.96134798474597,82.0,336.0
pca,village,dalby,,ʉ̟ː->øː,ʉ̟ː,øː,-9.311637864655838,6.046306555526156,82.0,336.0
pca,village,dragsfjard,,uː->oː,uː,oː,38.490212648186,5.396166048364536,272.0,350.0
pca,village,dragsfjard,,oː->ɑː,oː,ɑː,17.137227401419125,-12.796803015429306,272.0,350.0
pca,village,dragsfjard,,ɑː->æː,ɑː,æː,-10.690820784368501,-3.784794186205815,272.0,350.0
pca,village,dragsfjard,,æː->eː,æː,eː,-21.52048087449153,14.411847478367939,272.0,350.0
pca,village,dragsfjard,,yː->ʉ̟ː,yː,ʉ̟ː,14.748424942322584,17.976843880330176,272.0,350.0
pca,village,dragsfjard,,ʉ̟ː->øː,ʉ̟ː,øː,11.313629667575308,9.973120043459588,272.0,350.0
pca,village,faro,,uː->oː,uː,oː,32.519396204586045,-8.653598178675761,208.0,445.0
pca,village,faro,,oː->ɑː,oː,ɑː,28.573943344588788,-14.369108623856757,208.0,445.0
pca,village,faro,,ɑː->æː,ɑː,æː,2.676517025373652,-6.631663542187696,208.0,445.0
pca,village,faro,,æː->eː,æː,eː,-13.286859023288207,8.116066792885386,208.0,445.0
pca,village,faro,,yː->ʉ̟ː,yː,ʉ̟ː,-7.466954031003727,12.471647445046159,208.0,445.0
pca,village,faro,,ʉ̟ː->øː,ʉ̟ː,øː,-10.131957184011354,-2.716137379869563,208.0,445.0
pca,village,floby,,uː->oː,uː,oː,44.11933152238453,8.478127716334386,85.0,439.0
pca,village,floby,,oː->ɑː,oː,ɑː,38.185989447676484,-6.968027658629442,85.0,439.0
pca,village,floby,,ɑː->æː,ɑː,æː,2.731109764349519,-12.189844970769048,85.0,439.0
pca,village,floby,,æː->eː,æː,eː,-23.481696439850623,5.989737001084766,85.0,439.0
pca,village,floby,,yː->ʉ̟ː,yː,ʉ̟ː,-1.2970601715800267,25.507279751478258,85.0,439.0
pca,village,floby,,ʉ̟ː->øː,ʉ̟ː,øː,-6.466342295927021,18.926690037248,85.0,439.0
pca,village,frandef,,uː->oː,uː,oː,35.926036143312956,1.1697511305851023,63.0,423.0
pca,village,frandef,,oː->ɑː,oː,ɑː,27.368484023319656,-10.955275795809428,63.0,423.0
pca,village,frandef,,ɑː->æː,ɑː,æː,-11.870217504173201,-18.063438398755004,63.0,423.0
pca,village,frandef,,æː->eː,æː,eː,-29.4864248721585,2.577318752497483,63.0,423.0
pca,village,frandef,,yː->ʉ̟ː,yː,ʉ̟ː,-16.33289235168028,18.43717881192955,63.0,423.0
pca,village,frandef,,ʉ̟ː->øː,ʉ̟ː,øː,-18.14490906971025,9.248635886697086,63.0,423.0
pca,village,frillesas,,uː->oː,uː,oː,30.477348039550883,-2.0638145245438495,58.0,470.0
pca,village,frillesas,,oː->ɑː,oː,ɑː,30.14253262505905,-11.763295436913882,58.0,470.0
pca,village,frillesas,,ɑː->æː,ɑː,æː,-1.2699392671406464,-18.68045168249726,58.0,470.0
pca,village,frillesas,,æː->eː,æː,eː,-27.320036081914022,-6.374459939419277,58.0,470.0
pca,village,frillesas,,yː->ʉ̟ː,yː,ʉ̟ː,-10.576157323590763,5.732885054421278,58.0,470.0
pca,village,frillesas,,ʉ̟ː->øː,ʉ̟ː,øː,-6.781255678957829,-5.392637018859639,58.0,470.0
pca,village,grangarde,,uː->oː,uː,oː,23.743196708268098,-1.1759466169772774,119.0,354.0
pca,village,grangarde,,oː->ɑː,oː,ɑː,10.980069130689984,-14.250147189851711,119.0,354.0
pca,village,grangarde,,ɑː->æː,ɑː,æː,-16.01994901316347,-15.738779343533327,119.0,354.0
pca,village,grangarde,,æː->eː,æː,eː,-34.40172252162871,-3.6272886581760746,119.0,354.0
pca,village,grangarde,,yː->ʉ̟ː,yː,ʉ̟ː,-4.358219596174459,9.74691179482031,119.0,354.0
pca,village,grangarde,,ʉ̟ː->øː,ʉ̟ː,øː,-16.456093188279926,0.5325144921378011,119.0,354.0
pca,village,graso,,uː->oː,uː,oː,47.24681608251386,8.43090546981448,189.0,350.0
