village,speaker,vowel,n_speakers,n_tokens,geo_x,geo_y,display_x,display_y
hamneda,,æː,3,27,93.0,496.0,-12.2298395722,-5.75359375
hamneda,,øː,3,48,93.0,496.0,-11.5360033286,-4.9148435976
hamneda,,ɑː,3,14,93.0,496.0,-8.54540668242,-5.67309803922
hamneda,,ʉ̟ː,3,14,93.0,496.0,-11.5957327742,-3.89073711121
haraker,,eː,3,24,149.0,373.0,-11.959735722249999,-5.00538555889
haraker,,oː,3,14,149.0,373.0,-6.97501305336,-4.36199162966
haraker,,uː,3,12,149.0,373.0,-6.517204853825,-3.4748147445099997
haraker,,yː,3,12,149.0,373.0,-12.5060550459,-4.07051667467
haraker,,æː,3,13,149.0,373.0,-10.394941695149999,-6.5545886124349995
haraker,,øː,3,38,149.0,373.0,-10.3177885784,-5.15958199357
haraker,,ɑː,3,12,149.0,373.0,-7.64914438644,-5.427511802165
haraker,,ʉ̟ː,3,15,149.0,373.0,-10.7011088052,-3.94782830429
houtskar,,eː,1,8,245.0,347.0,-12.600682941199999,-5.563067033359999
houtskar,,oː,1,4,245.0,347.0,-7.89374554594,-5.03531195295
houtskar,,uː,1,4,245.0,347.0,-7.066980978109999,-3.649677111955
houtskar,,yː,1,3,245.0,347.0,-13.3340527223,-3.87164179104
houtskar,,æː,1,4,245.0,347.0,-12.10474745545,-6.42449201752
houtskar,,øː,1,12,245.0,347.0,-12.0990255143,-5.1638247452799995
houtskar,,ɑː,1,5,245.0,347.0,-10.0465739883,-6.28471841705
houtskar,,ʉ̟ː,1,4,245.0,347.0,-10.1262950419,-4.412042807700001
jamshog,,eː,3,14,108.0,514.0,-13.3515378546,-4.54815550041
jamshog,,oː,3,15,108.0,514.0,-8.56334457181,-5.67309803922
jamshog,,uː,3,26,108.0,514.0,-9.56106904232,-4.0517428088
jamshog,,yː,3,19,108.0,514.0,-11.3771072036,-4.07991550486
jamshog,,æː,3,35,108.0,514.0,-12.1178199999,-5.65692307692
jamshog,,øː,3,55,108.0,514.0,-9.858875,-4.47601659751
jamshog,,ɑː,3,15,108.0,514.0,-10.0315151515,-6.43574018127
jamshog,,ʉ̟ː,3,19,108.0,514.0,-11.08184310245,-3.8524117353
jarnboas,,eː,3,24,117.0,378.0,-13.2270614225,-4.084555503935
jarnboas,,oː,3,13,117.0,378.0,-6.78051875783,-4.16400673401
jarnboas,,uː,3,11,117.0,378.0,-8.4460825289,-4.103171373775
jarnboas,,yː,3,13,117.0,378.0,-11.895216055,-4.10333726955
jarnboas,,æː,3,14,117.0,378.0,-11.1974512055,-5.54298342541
jarnboas,,øː,3,41,117.0,378.0,-10.921866874100001,-5.05722132472
jarnboas,,ɑː,3,13,117.0,378.0,-7.9515530045,-5.44431403648
jarnboas,,ʉ̟ː,3,12,117.0,378.0,-10.83786036715,-4.1960212635800005
jarsnas,,eː,3,12,113.0,452.0,-12.63297855605,-4.1449821426549995
jarsnas,,oː,3,13,113.0,452.0,-7.02102621483,-4.24746331237
jarsnas,,uː,3,14,113.0,452.0,-7.46590461726,-4.02349851758
jarsnas,,yː,3,12,113.0,452.0,-12.1352893674,-4.02349851758
jarsnas,,æː,3,29,113.0,452.0,-11.7238781163,-5.88108695652
jarsnas,,øː,3,35,113.0,452.0,-10.5141434143,-4.91050020333
jarsnas,,ɑː,3,14,113.0,452.0,-8.12257083621,-5.155144644125
jarsnas,,ʉ̟ː,3,12,113.0,452.0,-11.07524317255,-4.270486731565
karna,,eː,3,16,53.0,448.0,-12.90230055865,-4.853855389595
karna,,oː,3,15,53.0,448.0,-7.718354072625,-4.906132057495
karna,,uː,3,15,53.0,448.0,-7.97073170732,-4.54815550041
karna,,yː,3,14,53.0,448.0,-11.646820746700001,-4.21971452561
karna,,æː,3,32,53.0,448.0,-12.1124076571,-5.801577582729999
karna,,øː,3,51,53.0,448.0,-10.6128061529,-5.4484431855
karna,,ɑː,3,15,53.0,448.0,-8.5513900135,-5.55933753943
karna,,ʉ̟ː,3,15,53.0,448.0,-11.8596926454,-4.33029239766
karsta,,eː,3,30,186.0,377.0,-13.1562237762,-4.10798135125
karsta,,oː,3,13,186.0,377.0,-6.62133931912,-4.4260661062699995
karsta,,uː,3,17,186.0,377.0,-7.11603209336,-4.01406779661
karsta,,yː,3,16,186.0,377.0,-13.3436139833,-3.34346573549
karsta,,æː,3,15,186.0,377.0,-12.3379464049,-5.09993688412
karsta,,øː,3,44,186.0,377.0,-11.687487789199999,-4.80570494483
karsta,,ɑː,3,14,186.0,377.0,-7.97710902125,-5.30709286203
karsta,,ʉ̟ː,3,13,186.0,377.0,-11.7520486591,-3.84293766012
korsberga,,eː,3,17,100.0,432.0,-13.4946958637,-4.07991550486
korsberga,,oː,3,14,100.0,432.0,-6.92545119705,-4.407835424125
korsberga,,uː,3,14,100.0,432.0,-6.882573406625,-3.93833333333
korsberga,,yː,3,16,100.0,432.0,-13.0804019091,-3.5467968179750002
korsberga,,æː,3,31,100.0,432.0,-11.68951002985,-6.254002217769999
korsberga,,øː,3,48,100.0,432.0,-11.364397462300001,-4.67325657895
korsberga,,ɑː,3,16,100.0,432.0,-7.6360832085000006,-5.6326129666
korsberga,,ʉ̟ː,3,15,100.0,432.0,-11.3384875327,-3.654250222565
kramfors,,eː,3,8,173.0,248.0,-13.1660494135,-4.64657060519
kramfors,,oː,3,12,173.0,248.0,-7.69223912274,-4.55713931377
kramfors,,uː,3,7,173.0,248.0,-7.5197001071,-3.95731520816
kramfors,,yː,3,9,173.0,248.0,-12.875,-4.06114164905
kramfors,,æː,3,18,173.0,248.0,-12.23167526275,-5.87664615522
kramfors,,øː,3,25,173.0,248.0,-11.4820275979,-5.04006467259
kramfors,,ɑː,3,9,173.0,248.0,-8.00257391304,-5.6892476489
kramfors,,ʉ̟ː,3,9,173.0,248.0,-11.5318664047,-3.70800687285
kyrkslatt,,eː,3,13,310.0,347.0,-13.134859419049999,-4.966199343655
kyrkslatt,,oː,3,14,310.0,347.0,-7.53308597931,-5.00566801619
kyrkslatt,,uː,3,14,310.0,347.0,-6.1313803681,-3.32342507645
kyrkslatt,,yː,3,13,310.0,347.0,-12.3305441996,-3.58123575796
kyrkslatt,,æː,3,27,310.0,347.0,-13.3212823674,-4.89310541311
kyrkslatt,,øː,3,38,310.0,347.0,-11.79002655985,-4.9061462024899996
kyrkslatt,,ɑː,3,12,310.0,347.0,-9.437758226425,-6.04603773585
kyrkslatt,,ʉ̟ː,3,13,310.0,347.0,-9.172450225165,-3.517287940315
lanna,,eː,2,15,161.0,393.0,-12.413993656999999,-4.47600534465
lanna,,oː,2,11,161.0,393.0,-7.113326960709999,-4.2032090459875
lanna,,uː,2,8,161.0,393.0,-7.6335303390775,-3.928659258515
lanna,,yː,2,8,161.0,393.0,-12.62065883475,-3.8128030907275
lanna,,æː,2,8,161.0,393.0,-10.6840073153,-6.5085020510425
lanna,,øː,2,22,161.0,393.0,-9.903301388025,-5.435783527605
lanna,,ɑː,2,9,161.0,393.0,-8.4321291197475,-5.525867086145
lanna,,ʉ̟ː,2,8,161.0,393.0,-11.270097267925,-4.2008131756400005
leksand,,eː,2,15,120.0,335.0,-13.207401543175,-4.6566663739225
leksand,,oː,2,8,120.0,335.0,-7.15425764484,-4.6013482669325
leksand,,uː,2,8,120.0,335.0,-7.477117897275,-4.1132240299725
leksand,,yː,2,8,120.0,335.0,-13.150885895975,-3.5024331026874997
leksand,,æː,2,8,120.0,335.0,-12.345013250225001,-6.15766791001
leksand,,øː,2,25,120.0,335.0,-11.097774174000001,-5.239428334034999
leksand,,ɑː,2,7,120.0,335.0,-8.0141204530475,-5.7675528718825
leksand,,ʉ̟ː,2,8,120.0,335.0,-11.444998067775,-3.7366224242575
loderup,,eː,3,12,98.0,543.0,-12.0278708977,-6.06160831089
loderup,,oː,3,13,98.0,543.0,-10.6640713224,-5.98351487061
loderup,,uː,3,15,98.0,543.0,-11.5605891313,-5.07435028249
loderup,,yː,3,12,98.0,543.0,-11.3347212742,-5.0142776204
loderup,,æː,3,23,98.0,543.0,-10.958666453149998,-6.375466121135
loderup,,øː,3,36,98.0,543.0,-10.1512093309,-6.077142995245
loderup,,ɑː,3,12,98.0,543.0,-8.25948474777,-6.23131629149
loderup,,ʉ̟ː,3,13,98.0,543.0,-10.49519406235,-4.73526855269
malung,,eː,3,25,96.0,337.0,-13.2892459827,-4.23822147651
malung,,oː,3,15,96.0,337.0,-7.15091372406,-4.26592375367
malung,,uː,3,15,96.0,337.0,-7.908684922885,-3.58123575796
malung,,yː,3,11,96.0,337.0,-13.0638028169,-3.40337831955
malung,,æː,3,9,96.0,337.0,-13.507251388850001,-4.58398706595
malung,,øː,3,44,96.0,337.0,-11.739934383000001,-4.45790697674
malung,,ɑː,3,15,96.0,337.0,-8.02796804446,-5.64882606989
malung,,ʉ̟ː,3,13,96.0,337.0,-11.039648626950001,-3.4132250791
n_rorum,,eː,2,9,84.0,522.0,-12.765499057500001,-4.867156710374999
n_rorum,,oː,2,11,84.0,522.0,-10.14474155752,-4.88366622991
n_rorum,,uː,2,9,84.0,522.0,-11.04601336705,-4.451797829305
n_rorum,,yː,2,9,84.0,522.0,-12.457685423825,-4.34620848319
n_rorum,,æː,2,19,84.0,522.0,-11.838660121724999,-5.7651988569
n_rorum,,øː,2,27,84.0,522.0,-10.7767560849,-4.94317738972
n_rorum,,ɑː,2,10,84.0,522.0,-8.70219895042,-5.310630461925
n_rorum,,ʉ̟ː,2,9,84.0,522.0,-11.096593521575,-4.004524184745
narpes,,eː,3,13,237.0,258.0,-10.8066195524,-6.49917907567
narpes,,oː,3,11,237.0,258.0,-6.81071507966,-4.29355648536
narpes,,uː,3,11,237.0,258.0,-7.78383667723,-4.416776694125
narpes,,yː,3,12,237.0,258.0,-12.2223210913,-4.69987315709
narpes,,æː,3,25,237.0,258.0,-13.0637618521,-4.691010682
narpes,,øː,3,25,237.0,258.0,-12.3637923729,-4.366158831125
narpes,,ɑː,3,11,237.0,258.0,-9.000242664735001,-5.84521602237
narpes,,ʉ̟ː,3,10,237.0,258.0,-10.3274802672,-4.93653939886
nora,,eː,3,30,160.0,357.0,-11.61828125,-4.85819869707
nora,,oː,3,13,160.0,357.0,-6.96761811243,-3.98571156766
nora,,uː,3,14,160.0,357.0,-8.435511988984999,-3.57144338807
nora,,yː,3,12,160.0,357.0,-10.7425665287,-3.33344978166
nora,,æː,3,16,160.0,357.0,-11.7036893204,-5.71342465753
