village,vowel,n_speakers,geo_x,geo_y,display_x,display_y,geo_position,geographic_group
graso,ɑː,3,189.0,350.0,-891.0,-570.0,350.0,
graso,ʉ̟ː,3,189.0,350.0,-1612.0,-376.5,350.0,
hammaro,eː,3,90.0,391.0,-1798.0,-483.5,391.0,
hammaro,oː,3,90.0,391.0,-858.0,-461.0,391.0,
hammaro,uː,3,90.0,391.0,-836.0,-389.0,391.0,
hammaro,yː,3,90.0,391.0,-1911.0,-413.0,391.0,
hammaro,æː,3,90.0,391.0,-1630.0,-668.0,391.0,
hammaro,øː,3,90.0,391.0,-1332.5,-559.0,391.0,
hammaro,ɑː,3,90.0,391.0,-981.5,-597.0,391.0,
hammaro,ʉ̟ː,3,90.0,391.0,-1594.0,-423.5,391.0,
hamneda,eː,3,93.0,496.0,-1968.5,-471.0,496.0,
hamneda,oː,3,93.0,496.0,-950.0,-510.0,496.0,
hamneda,uː,3,93.0,496.0,-967.0,-420.0,496.0,
hamneda,yː,3,93.0,496.0,-1907.0,-372.0,496.0,
hamneda,æː,3,93.0,496.0,-1753.0,-600.0,496.0,
hamneda,øː,3,93.0,496.0,-1590.0,-491.0,496.0,
hamneda,ɑː,3,93.0,496.0,-1010.0,-597.0,496.0,
hamneda,ʉ̟ː,3,93.0,496.0,-1611.0,-366.0,496.0,
haraker,eː,3,149.0,373.0,-1703.5,-487.5,373.0,
haraker,oː,3,149.0,373.0,-741.5,-439.0,373.0,
haraker,uː,3,149.0,373.0,-708.5,-357.5,373.0,
haraker,yː,3,149.0,373.0,-1864.0,-370.0,373.0,
haraker,æː,3,149.0,373.0,-1365.0,-717.0,373.0,
haraker,øː,3,149.0,373.0,-1298.0,-511.0,373.0,
haraker,ɑː,3,149.0,373.0,-844.0,-542.5,373.0,
haraker,ʉ̟ː,3,149.0,373.0,-1367.0,-374.0,373.0,
jamshog,eː,3,108.0,514.0,-2123.0,-463.0,514.0,
jamshog,oː,3,108.0,514.0,-1001.0,-576.0,514.0,
jamshog,uː,3,108.0,514.0,-1295.0,-394.0,514.0,
jamshog,yː,3,108.0,514.0,-1357.0,-395.0,514.0,
jamshog,æː,3,108.0,514.0,-1769.0,-591.0,514.0,
jamshog,øː,3,108.0,514.0,-1201.0,-448.0,514.0,
jamshog,ɑː,3,108.0,514.0,-1335.0,-722.0,514.0,
jamshog,ʉ̟ː,3,108.0,514.0,-1482.0,-384.0,514.0,
jarnboas,eː,3,117.0,378.0,-1999.5,-406.5,378.0,
jarnboas,oː,3,117.0,378.0,-726.5,-414.5,378.0,
jarnboas,uː,3,117.0,378.0,-977.0,-390.5,378.0,
jarnboas,yː,3,117.0,378.0,-1682.0,-409.0,378.0,
jarnboas,æː,3,117.0,378.0,-1661.0,-580.0,378.0,
jarnboas,øː,3,117.0,378.0,-1454.0,-516.0,378.0,
jarnboas,ɑː,3,117.0,378.0,-901.5,-569.0,378.0,
jarnboas,ʉ̟ː,3,117.0,378.0,-1449.0,-424.5,378.0,
jarsnas,eː,3,113.0,452.0,-1908.5,-414.0,452.0,
jarsnas,oː,3,113.0,452.0,-754.0,-416.5,452.0,
jarsnas,uː,3,113.0,452.0,-804.0,-397.0,452.0,
jarsnas,yː,3,113.0,452.0,-1742.0,-376.0,452.0,
jarsnas,æː,3,113.0,452.0,-1638.0,-613.0,452.0,
jarsnas,øː,3,113.0,452.0,-1319.5,-487.0,452.0,
jarsnas,ɑː,3,113.0,452.0,-940.5,-529.0,452.0,
jarsnas,ʉ̟ː,3,113.0,452.0,-1494.0,-414.5,452.0,
karna,eː,3,53.0,448.0,-1942.0,-491.5,448.0,
karna,oː,3,53.0,448.0,-868.5,-500.5,448.0,
karna,uː,3,53.0,448.0,-878.0,-436.0,448.0,
karna,yː,3,53.0,448.0,-1625.0,-417.5,448.0,
karna,æː,3,53.0,448.0,-1764.0,-611.0,448.0,
karna,øː,3,53.0,448.0,-1401.5,-563.0,448.0,
karna,ɑː,3,53.0,448.0,-992.0,-587.0,448.0,
karna,ʉ̟ː,3,53.0,448.0,-1672.0,-433.0,448.0,
karsta,eː,3,186.0,377.0,-1985.0,-411.5,377.0,
karsta,oː,3,186.0,377.0,-696.0,-440.0,377.0,
karsta,uː,3,186.0,377.0,-725.0,-393.0,377.0,
karsta,yː,3,186.0,377.0,-2186.0,-369.0,377.0,
karsta,æː,3,186.0,377.0,-1805.0,-524.0,377.0,
karsta,øː,3,186.0,377.0,-1663.0,-487.5,377.0,
karsta,ɑː,3,186.0,377.0,-901.0,-552.0,377.0,
karsta,ʉ̟ː,3,186.0,377.0,-1643.0,-385.0,377.0,
korsberga,eː,3,100.0,432.0,-2123.0,-414.0,432.0,
korsberga,oː,3,100.0,432.0,-751.0,-470.5,432.0,
korsberga,uː,3,100.0,432.0,-714.0,-396.0,432.0,
