method,grouping,village,speaker,fit_basis,n_points,n_vowels,missing_vowels,geo_x,geo_y,centroid_x,centroid_y,ellipse_angle_deg,ellipse_angle_from_horizontal_signed_deg,major_axis_sd,minor_axis_sd,axis_ratio,orientation_reliable
fasttrack,village,s_finnskoga,,midpoints,6,8,,74.0,333.0,-1383.125,-490.5416666666667,0.9522651421244177,0.9522651421244177,518.0554799254844,81.09885255564758,6.387950798317528,1
fasttrack,village,s_mellosa,,vowels,8,8,,129.0,395.0,-1463.625,-478.375,179.2368547243108,-0.7631452756891974,538.6283260776872,95.4889181507771,5.640741737456828,1
fasttrack,village,s_mellosa,,midpoints,6,8,,129.0,395.0,-1402.2916666666667,-486.5833333333333,1.3760080986490948,1.3760080986490948,483.8592358840223,68.81472904156044,7.031332428727533,1
fasttrack,village,saltvik,,vowels,8,8,,221.0,350.0,-1240.0625,-491.125,3.8541225502249574,3.8541225502249574,491.5313198644908,114.82211390786891,4.280807094867511,1
fasttrack,village,saltvik,,midpoints,6,8,,221.0,350.0,-1184.0416666666667,-503.75,6.264341356856335,6.264341356856335,379.4821994525703,99.86814164340069,3.799832391070096,1
fasttrack,village,segerstad,,vowels,8,8,,153.0,510.0,-1437.8125,-459.3125,178.5444973151901,-1.4555026848098862,510.52916926908034,70.38740631874325,7.2531322855852,1
fasttrack,village,segerstad,,midpoints,6,8,,153.0,510.0,-1375.5,-469.375,178.8515191656298,-1.14848083437019,454.42382935577575,64.43253885757426,7.052707178903237,1
fasttrack,village,skee,,vowels,8,8,,42.0,404.0,-1321.5625,-424.4375,3.23850761738737,3.23850761738737,508.53490800854473,76.49058658907614,6.64833322223692,1
fasttrack,village,skee,,midpoints,6,8,,42.0,404.0,-1284.7916666666667,-430.9166666666667,3.2876921912524892,3.2876921912524892,470.269154067019,67.5322131758147,6.963627163272599,1
fasttrack,village,skinnskatteberg,,vowels,8,8,,135.0,371.0,-1254.125,-454.40625,179.18133203778825,-0.8186679622117481,258.0376246654321,94.87846134220578,2.719664937806559,1
fasttrack,village,skinnskatteberg,,midpoints,6,8,,135.0,371.0,-1225.2291666666667,-466.0,178.6348833543737,-1.3651166456263013,248.56029806963082,83.18337921545961,2.9881005125533053,1
fasttrack,village,skog,,vowels,8,8,,157.0,317.0,-1403.6875,-492.3125,0.15647401352083534,0.15647401352083534,524.5139950558322,77.65806041689,6.75414750561752,1
fasttrack,village,skog,,midpoints,6,8,,157.0,317.0,-1350.4166666666667,-502.3333333333333,0.20018122045490827,0.20018122045490827,469.2483905232276,65.58701338446343,7.154593055984242,1
fasttrack,village,skuttunge,,vowels,8,8,,171.0,364.0,-1400.03125,-443.5,3.161424377447048,3.161424377447048,469.35131420141494,97.0670509709158,4.835330933686722,1
fasttrack,village,skuttunge,,midpoints,6,8,,171.0,364.0,-1366.4583333333333,-452.6458333333333,3.411686132131905,3.411686132131905,430.08785929831447,82.47925530111588,5.2144973633448375,1
fasttrack,village,sorsele,,vowels,8,8,,166.0,143.0,-1498.0625,-511.03125,176.63023609716635,-3.369763902833654,430.5195641508219,117.7529845670918,3.6561244348377935,1
fasttrack,village,sorsele,,midpoints,6,8,,166.0,143.0,-1468.0416666666667,-528.25,172.85786460972523,-7.142135390274774,336.3219625545287,102.31570832544186,3.2870999776961787,1
fasttrack,village,sorunda,,vowels,8,8,,181.0,406.0,-1427.96875,-488.25,0.40134041924267194,0.40134041924267194,495.3463081214171,127.38302751985799,3.8886366399495147,1
fasttrack,village,sorunda,,midpoints,6,8,,181.0,406.0,-1368.4583333333333,-501.7083333333333,2.923996584279422,2.923996584279422,441.50585237871263,99.86892984647282,4.420852942526106,1
fasttrack,village,sproge,,vowels,8,8,,190.0,475.0,-1375.0,-443.25,177.51393860156864,-2.48606139843136,441.1330694225493,66.23098695677814,6.660523867935556,1
fasttrack,village,sproge,,midpoints,6,8,,190.0,475.0,-1330.7916666666667,-447.7916666666667,177.97436834165174,-2.02563165834826,387.57545257804975,55.36234633984785,7.000704959267354,1
fasttrack,village,st_anna,,vowels,8,8,,157.0,436.0,-1405.0,-487.28125,178.18836747369545,-1.8116325263045496,521.9071114466029,85.07240515982514,6.134857836287789,1
fasttrack,village,st_anna,,midpoints,6,8,,157.0,436.0,-1353.5625,-495.75,0.40512267389604517,0.40512267389604517,463.0262107037839,61.458027456103174,7.534023298006165,1
fasttrack,village,stenberga,,vowels,8,8,,128.0,474.0,-1489.375,-464.625,179.91392870118338,-0.0860712988166199,566.2158650928935,78.87685593899174,7.17847914134458,1
fasttrack,village,stenberga,,midpoints,6,8,,128.0,474.0,-1432.5833333333333,-473.9166666666667,0.5237806809196854,0.5237806809196854,503.1099822172516,72.58118989579974,6.93168550886993,1
fasttrack,village,storsjo,,vowels,8,8,,87.0,251.0,-1415.5,-488.5,178.52529793631513,-1.474702063684873,579.8310876073945,92.98991412911556,6.235419110101605,1
fasttrack,village,storsjo,,midpoints,6,8,,87.0,251.0,-1360.3333333333333,-503.8333333333333,179.00620195645308,-0.9937980435469171,487.81827452682967,87.11552313451371,5.599671068652106,1
fasttrack,village,strom,,vowels,8,8,,132.0,211.0,-1389.75,-463.5625,178.26494130972446,-1.7350586902755367,594.8797487218702,97.9254896586695,6.074820261766284,1
fasttrack,village,strom,,midpoints,6,8,,132.0,211.0,-1345.7916666666667,-477.75,178.53760283595417,-1.462397164045825,509.26104806427304,90.0952015433947,5.6524769281856315,1
