village,speaker,vowel,n_speakers,n_tokens,geo_x,geo_y,display_x,display_y
n_rorum,,æː,2,19,84.0,522.0,-1696.75,-601.5
n_rorum,,øː,2,27,84.0,522.0,-1432.5,-503.5
n_rorum,,ɑː,2,10,84.0,522.0,-1029.5,-546.0
n_rorum,,ʉ̟ː,2,9,84.0,522.0,-1502.75,-402.25
narpes,,eː,3,13,237.0,258.0,-1436.0,-696.5
narpes,,oː,3,11,237.0,258.0,-739.0,-430.0
narpes,,uː,3,11,237.0,258.0,-881.0,-443.5
narpes,,yː,3,12,237.0,258.0,-1778.0,-475.0
narpes,,æː,3,25,237.0,258.0,-2016.0,-474.0
narpes,,øː,3,25,237.0,258.0,-1816.0,-438.0
narpes,,ɑː,3,11,237.0,258.0,-1081.0,-611.5
narpes,,ʉ̟ː,3,10,237.0,258.0,-1334.0,-502.0
nora,,eː,3,30,160.0,357.0,-1624.0,-493.0
nora,,oː,3,13,160.0,357.0,-761.0,-397.0
nora,,uː,3,14,160.0,357.0,-985.0,-354.0
nora,,yː,3,12,160.0,357.0,-1422.0,-330.0
nora,,æː,3,16,160.0,357.0,-1645.0,-595.0
nora,,øː,3,33,160.0,357.0,-1475.0,-534.5
nora,,ɑː,3,16,160.0,357.0,-973.0,-575.0
nora,,ʉ̟ː,3,12,160.0,357.0,-1722.0,-361.5
nysatra,,eː,3,18,228.0,188.0,-1819.5,-520.0
nysatra,,oː,3,15,228.0,188.0,-778.0,-474.0
nysatra,,uː,3,15,228.0,188.0,-821.0,-380.0
nysatra,,yː,3,13,228.0,188.0,-2018.0,-415.0
nysatra,,æː,3,28,228.0,188.0,-1606.5,-693.0
nysatra,,øː,3,43,228.0,188.0,-1558.5,-527.0
nysatra,,ɑː,3,13,228.0,188.0,-1000.0,-615.5
nysatra,,ʉ̟ː,3,15,228.0,188.0,-1649.0,-393.0
ockelbo,,eː,3,14,156.0,328.0,-1971.5,-472.0
ockelbo,,oː,3,15,156.0,328.0,-789.0,-438.0
ockelbo,,uː,3,16,156.0,328.0,-768.5,-402.0
ockelbo,,yː,3,15,156.0,328.0,-1929.0,-374.0
ockelbo,,æː,3,30,156.0,328.0,-1619.5,-675.5
ockelbo,,øː,3,41,156.0,328.0,-1502.0,-549.0
ockelbo,,ɑː,3,15,156.0,328.0,-1020.0,-583.0
ockelbo,,ʉ̟ː,3,15,156.0,328.0,-1658.0,-377.0
orust,,eː,3,13,49.0,436.0,-2220.0,-445.0
orust,,oː,3,14,49.0,436.0,-757.0,-457.0
