village,vowel,n_speakers,geo_x,geo_y,display_x,display_y,geo_position,geographic_group
dalby,oː,3,82.0,336.0,-7.59972982581,-4.480200708385,201.22302887742558,North
dalby,uː,3,82.0,336.0,-7.06697327258,-3.857069252085,201.22302887742558,North
dalby,yː,3,82.0,336.0,-12.9091094148,-3.76603256213,201.22302887742558,North
dalby,æː,2,82.0,336.0,-12.069240189550001,-6.0880842772224995,201.22302887742558,North
dalby,øː,3,82.0,336.0,-11.2619325342,-4.81447712418,201.22302887742558,North
dalby,ɑː,3,82.0,336.0,-8.54241299685,-5.547009015095,201.22302887742558,North
dalby,ʉ̟ː,3,82.0,336.0,-11.1774761411,-3.8858433005800004,201.22302887742558,North
floby,eː,3,85.0,439.0,-14.1707278033,-4.17331089609,100.24992663283506,Centre
floby,oː,3,85.0,439.0,-7.26856729378,-4.03292125318,100.24992663283506,Centre
floby,uː,3,85.0,439.0,-6.7528326806150005,-3.48277657267,100.24992663283506,Centre
floby,yː,3,85.0,439.0,-13.7716448465,-3.40337831955,100.24992663283506,Centre
floby,æː,3,85.0,439.0,-12.9969868554,-5.563240914825,100.24992663283506,Centre
floby,øː,3,85.0,439.0,-12.25019896215,-4.389650213975,100.24992663283506,Centre
floby,ɑː,3,85.0,439.0,-7.9066773469200005,-5.1760560365299995,100.24992663283506,Centre
floby,ʉ̟ː,3,85.0,439.0,-11.853584395150001,-3.81412293965,100.24992663283506,Centre
frandef,eː,4,63.0,423.0,-13.0116506324,-4.2718822945024995,112.25604601246488,Centre
frandef,oː,4,63.0,423.0,-7.0182757767999995,-4.3302579290650005,112.25604601246488,Centre
frandef,uː,4,63.0,423.0,-7.0847487643500004,-3.81412293965,112.25604601246488,Centre
frandef,yː,4,63.0,423.0,-12.6584560107,-3.8971407601225,112.25604601246488,Centre
frandef,æː,4,63.0,423.0,-11.955712672175,-5.70452174811,112.25604601246488,Centre
frandef,øː,4,63.0,423.0,-11.47729065575,-4.6953272702749995,112.25604601246488,Centre
frandef,ɑː,3,63.0,423.0,-8.367058551469999,-5.386160208034999,112.25604601246488,Centre
frandef,ʉ̟ː,4,63.0,423.0,-11.50449101055,-3.8449557579825,112.25604601246488,Centre
frillesas,eː,3,58.0,470.0,-13.565844888400001,-4.81447712418,65.09282618043753,South
frillesas,oː,2,58.0,470.0,-6.510982626580001,-4.471553952695,65.09282618043753,South
frillesas,uː,3,58.0,470.0,-6.708113319435,-4.03762066319,65.09282618043753,South
frillesas,yː,3,58.0,470.0,-12.07387290625,-4.505205465625,65.09282618043753,South
frillesas,æː,3,58.0,470.0,-12.6206290616,-6.26186666667,65.09282618043753,South
frillesas,øː,3,58.0,470.0,-10.608148866850001,-5.290344679035,65.09282618043753,South
frillesas,ɑː,3,58.0,470.0,-7.85839981398,-5.53479668377,65.09282618043753,South
frillesas,ʉ̟ː,3,58.0,470.0,-11.4945832245,-4.40792636868,65.09282618043753,South
grangarde,eː,1,119.0,354.0,-13.5023999008,-5.57158540286,189.80902415725896,North
grangarde,oː,1,119.0,354.0,-6.55491380734,-5.3543177877999995,189.80902415725896,North
grangarde,uː,1,119.0,354.0,-6.08833341946,-3.9892277103,189.80902415725896,North
grangarde,yː,1,119.0,354.0,-13.8353301551,-4.86212574736,189.80902415725896,North
grangarde,æː,1,119.0,354.0,-12.7854956343,-6.43574018127,189.80902415725896,North
grangarde,øː,1,119.0,354.0,-11.762036340249999,-5.57566587864,189.80902415725896,North
grangarde,ɑː,1,119.0,354.0,-7.48615164521,-6.0661282682949995,189.80902415725896,North
grangarde,ʉ̟ː,1,119.0,354.0,-12.0120880848,-5.08232145949,189.80902415725896,North
graso,eː,3,189.0,350.0,-12.8709892931,-4.51214581607,205.70952611928726,North
graso,oː,3,189.0,350.0,-6.75279223196,-4.08919160559,205.70952611928726,North
graso,uː,3,189.0,350.0,-6.73104166667,-3.653117606135,205.70952611928726,North
